# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1621VALD_1_1	DIOS	None	_	None	_	_	_	_	origText=DIOS,baseForms=,wordLang=spa
1621VALD_1_2	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_1_3	ñi	ñi	_	PP	3	_	_	_	origText=ñi,baseForms=ñi
1621VALD_1_4	mùpin	mupiñ	_	AJ	nmlz	_	_	_	origText=mùpin,baseForms=mupi|(ü)n
1621VALD_1_5	dùgu	düngu	_	N	_	_	_	_	origText=dùgu,baseForms=düngu
1621VALD_1_6	(	(	PUNCT	PUNCT	_	_	_	_	_
1621VALD_1_7	inche	iñche	_	PN	1s	_	_	_	origText=inche,baseForms=iñche
1621VALD_1_8	ñi	ñi	_	PP	3	_	_	_	origText=ñi,baseForms=ñi
1621VALD_1_9	ayùñel	ayünel	_	None	nmlz|nmlz	_	_	_	origText=ayùñel,baseForms=ayü|(ü)n|el
1621VALD_1_10	pu	pu	_	PL	PL	_	_	_	origText=pu,baseForms=pu
1621VALD_1_11	peñiеmа	peñi	_	N	affect	_	_	_	origText=peñiеmа,baseForms=peñi|ema
1621VALD_1_12	)	)	PUNCT	PUNCT	_	_	_	_	_
1621VALD_1_13	cùpa	küpa	_	AUX	prefix	_	_	_	origText=cùpa,baseForms=küpa
1621VALD_1_14	gеnelаbіn	ngen	_	V	nmlz|nmlz|fut|dir3|ind1s	_	_	_	origText=gеnelаbіn,baseForms=nge|(ü)n|el|a|fi|(ü)n
1621VALD_1_15	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_1_16	рieуmn	pin	_	V	ind1-2p	_	_	_	origText=рieуmn,baseForms=pi|eymün
1621VALD_1_17	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_1_18	cùpan	küpan	_	V	ind1s	_	_	_	origText=cùpan,baseForms=küpa|(ü)n
1621VALD_1_19	.	.	PUNCT	PUNCT	_	_	_	_	_

1621VALD_2_1	Cùme	küme	_	AJ	_	_	_	_	origText=Cùme,baseForms=küme
1621VALD_2_2	gelu	ngelu	_	N	svn	_	_	_	origText=gelu,baseForms=nge|lu
1621VALD_2_3	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_2_4	quimbilmn	kimün	_	V	dir3|subj2p	_	_	_	origText=quimbilmn,baseForms=kim|fi|(ü)lmün
1621VALD_2_5	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_2_6	ayùbilmn	ayün	_	None	dir3|subj2p	_	_	_	origText=ayùbilmn,baseForms=ayü|fi|(ü)lmün
1621VALD_2_7	cay	kay	_	AV	_	_	_	_	origText=cay,baseForms=kay
1621VALD_2_8	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_2_9	vill	fill	_	AJ	_	_	_	_	origText=vill,baseForms=fill
1621VALD_2_10	ella	ella	_	AJ	_	_	_	_	origText=ella,baseForms=ella
1621VALD_2_11	que	ke	_	PL	p	_	_	_	origText=que,baseForms=ke
1621VALD_2_12	dugu	düngu	_	N	_	_	_	_	origText=dugu,baseForms=düngu
1621VALD_2_13	meu	mew	_	P	P	_	_	_	origText=meu,baseForms=mew
1621VALD_2_14	tamn	tamün	_	PP	2p	_	_	_	origText=tamn,baseForms=tamün
1621VALD_2_15	pllù	püllü	_	N	_	_	_	_	origText=pllù,baseForms=püllü
1621VALD_2_16	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_2_17	montuay	montun	_	V	fut|ind3	_	_	_	origText=montuay,baseForms=montu|a|iy
1621VALD_2_18	.	.	PUNCT	PUNCT	_	_	_	_	_

1621VALD_3_1	Allcùmollechi	allkün	_	V	imp1s-3/affirm	_	_	_	origText=Allcùmollechi,baseForms=allkù|mullechi
1621VALD_3_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_3_3	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_3_4	quimin	kimün	_	N	nmlz	_	_	_	origText=quimin,baseForms=kim|(ü)n
1621VALD_3_5	ta	ta	_	DA	DA	_	_	_	origText=ta,baseForms=ta
1621VALD_3_6	huenu	wenu	_	N	_	_	_	_	origText=huenu,baseForms=wenu
1621VALD_3_7	rùpù	rüpü	_	N	_	_	_	_	origText=rùpù,baseForms=rüpü
1621VALD_3_8	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_3_9	veytamn	feymün	_	PN	2p	_	_	_	origText=veytamn,baseForms=feymün
1621VALD_3_10	mogenllechi	mongen	_	V	nmlz|affirm|imp1s	_	_	_	origText=mogenllechi,baseForms=monge|(ü)n|lle|chi
1621VALD_3_11	.	.	PUNCT	PUNCT	_	_	_	_	_

1621VALD_4_1	Allcùgetuli	allkün	_	V	pass|rest|subj1s	_	_	_	origText=Allcùgetuli,baseForms=allkù|nge|tu|li
1621VALD_4_2	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_4_3	chem	chem	_	WH	particle	_	_	_	origText=chem,baseForms=chem
1621VALD_4_4	cam	kam	_	IP	particle	_	_	_	origText=cam,baseForms=kam
1621VALD_4_5	cùme	küme	_	AJ	_	_	_	_	origText=cùme,baseForms=küme
1621VALD_4_6	gelu	ngelu	_	N	svn	_	_	_	origText=gelu,baseForms=nge|lu
1621VALD_4_7	,	,	PUNCT	PUNCT	_	_	_	_	_
1621VALD_4_8	tamn	tamün	_	PP	2p	_	_	_	origText=tamn,baseForms=tamün
